"ds","y"
"1942-07-01","30.22"
"1942-08-01","28.745161290322578"
"1942-09-01","28.26666666666667"
"1942-10-01","27.429032258064517"
"1942-11-01","22.726666666666667"
"1942-12-01","15.009677419354839"
"1943-01-01","15.393548387096775"
"1943-02-01","18.49285714285714"
"1943-03-01","25.754838709677422"
"1943-04-01","29.539285714285718"
"1943-05-01","35.348387096774196"
"1943-06-01","34.510000000000005"
"1943-07-01","30.396774193548385"
"1943-08-01","28.47741935483871"
"1943-09-01","28.913333333333334"
"1943-10-01","24.641935483870967"
"1943-11-01","19.35"
"1943-12-01","15.290322580645162"
"1944-01-01","13.33548387096774"
"1944-02-01","16.55862068965517"
"1944-03-01","21.058064516129033"
"1944-04-01","27.583333333333332"
"1944-05-01","34.674193548387095"
"1944-06-01","32.736666666666665"
"1944-07-01","29.85806451612903"
"1944-08-01","29.451612903225804"
"1944-09-01","28.419999999999998"
"1944-10-01","23.92258064516129"
"1944-11-01","19.4"
"1944-12-01","15.309677419354838"
"1945-01-01","11.990322580645161"
"1945-02-01","16.15"
"1945-03-01","23.28709677419355"
"1945-04-01","27.47"
"1945-05-01","33.406451612903226"
"1945-06-01","34.70333333333333"
"1945-07-01","30.493548387096773"
"1945-08-01","29.78709677419355"
"1945-09-01","27.616666666666667"
"1945-10-01","24.329032258064515"
"1945-11-01","18.82333333333333"
"1945-12-01","12.870967741935484"
"1946-01-01","14.241935483870966"
"1946-02-01","18.8"
"1957-01-01","12.870588235294118"
"1957-02-01","14.705882352941178"
"1957-03-01","20.064705882352943"
"1957-04-01","26.77"
"1957-05-01","30.619999999999997"
"1957-06-01","30.82"
"1957-07-01","30.15"
"1957-08-01","29.586666666666666"
"1957-09-01","26.916666666666668"
"1957-10-01","24.23548387096774"
"1957-11-01","18.82333333333333"
"1957-12-01","13.93548387096774"
"1958-01-01","14.093548387096774"
"1958-02-01","16.253571428571426"
"1958-03-01","22.912903225806453"
"1958-04-01","29.82"
"1958-05-01","32.45161290322581"
"1958-06-01","34.339999999999996"
"1958-07-01","29.516129032258068"
"1958-08-01","28.767741935483873"
"1958-09-01","27.863333333333333"
"1958-10-01","24.37741935483871"
"1958-11-01","17.84"
"1958-12-01","14.125806451612902"
"1959-01-01","12.311111111111112"
"1959-02-01","14.75"
"1959-03-01","22.740000000000002"
"1959-04-01","28.229411764705883"
"1959-05-01","30.8"
"1959-06-01","33.8"
"1959-07-01","30.0"
"1959-08-01","31.8"
"1959-09-01","28.28"
"1959-10-01","25.05"
"1959-11-01","17.125"
"1959-12-01","13.55"
"1960-01-01","12.466666666666667"
"1960-02-01","17.05"
"1960-03-01","20.6"
"1960-04-01","26.118181818181817"
"1960-05-01","32.016666666666666"
"1961-01-01","13.8"
"1961-02-01","14.65625"
"1961-03-01","22.483870967741936"
"1961-04-01","28.23333333333333"
"1961-05-01","32.43666666666667"
"1961-06-01","33.4"
"1961-07-01","30.796666666666663"
"1961-08-01","28.280645161290323"
"1961-09-01","29.256666666666668"
"1961-10-01","24.336666666666666"
"1961-11-01","17.716666666666665"
"1961-12-01","12.006451612903225"
"1962-01-01","12.053333333333333"
"1962-02-01","16.960714285714285"
"1962-03-01","22.341935483870966"
"1962-04-01","29.616666666666667"
"1962-05-01","32.88709677419355"
"1962-06-01","33.906666666666666"
"1962-07-01","30.880645161290325"
"1962-08-01","29.529032258064518"
"1962-09-01","27.863333333333333"
"1962-10-01","24.261290322580646"
"1962-11-01","19.013793103448275"
"1962-12-01","13.37"
"1973-01-01","14.065517241379311"
"1973-02-01","18.511111111111113"
"1973-03-01","22.96"
"1973-04-01","31.182142857142857"
"1973-05-01","33.725806451612904"
"1973-06-01","33.83"
"1973-07-01","30.925806451612903"
"1973-08-01","28.693548387096776"
"1973-09-01","29.46333333333333"
"1973-10-01","25.719354838709677"
"1973-11-01","19.6"
"1973-12-01","12.906451612903226"
"1974-01-01","14.132258064516128"
"1974-02-01","16.04642857142857"
"1974-03-01","24.783870967741937"
"1974-04-01","31.131034482758622"
"1974-05-01","32.75666666666667"
"1974-06-01","33.343333333333334"
"1974-07-01","29.64516129032258"
"1974-08-01","30.12903225806452"
"1974-09-01","30.48"
"1974-10-01","26.29032258064516"
"1974-11-01","19.85"
"1974-12-01","14.461290322580647"
"1975-01-01","13.280645161290323"
"1975-02-01","16.446428571428573"
"1975-03-01","22.958064516129035"
"1975-04-01","30.29"
"1975-05-01","34.483333333333334"
"1975-06-01","31.939999999999998"
"1975-07-01","29.909677419354843"
"1975-08-01","28.883870967741935"
"1975-09-01","27.496666666666663"
"1975-10-01","26.125806451612902"
"1975-11-01","18.533333333333335"
"1975-12-01","15.274193548387098"
"1976-01-01","15.473333333333333"
"1976-02-01","17.413793103448278"
"1976-03-01","22.238709677419354"
"1976-04-01","28.27"
"1976-05-01","31.619999999999997"
"1976-06-01","31.744827586206895"
"1976-07-01","30.496428571428574"
"1976-08-01","28.00967741935484"
"1976-09-01","29.006666666666668"
"1976-10-01","27.306666666666665"
"1976-11-01","21.369999999999997"
"1976-12-01","15.135483870967741"
"1977-01-01","14.006451612903225"
"1977-02-01","17.33214285714286"
"1977-03-01","24.29032258064516"
"1977-04-01","28.03"
"1977-05-01","30.80967741935484"
"1977-06-01","32.21333333333333"
"1977-07-01","28.116129032258065"
"1977-08-01","29.535483870967745"
"1977-09-01","28.04"
"1977-10-01","26.551612903225806"
"1977-11-01","22.083333333333336"
"1977-12-01","16.20967741935484"
"1978-01-01","13.812903225806451"
"1978-02-01","15.689285714285713"
"1978-03-01","20.561290322580646"
